visualization_filename, serialization
('BPIC15_2_rev/process_tree_case_size_betwee_17_and_22_noise_1.svg', "->( +( 'Stage application received', 'Log submission date request', X( tau, 'Log deadline' ), ->( +( X( tau, 'Begin WABOprocedure' ), ->( *( +( X( tau, 'End on request' ), ->( +( X( tau, 'Release' ), ->( *( ->( +( X( tau, 'Record senddate acknowledgement' ), X( tau, ->( X( tau, 'log senddate letter no permit or notification needed' ), 'OLO communication active' ), ->( X( tau, ->( 'Applicant is a stakeholder', X( tau, 'Compute provisional charges' ) ) ), X( tau, 'Send to the competent authority' ), X( tau, +( X( tau, 'Check field phased application' ), ->( X( tau, +( 'Standard procedure without MER', X( tau, ->( X( tau, ->( X( 'Mandatory Environmental Report required', ->( X( tau, 'No application permit required' ), 'MER included' ) ), 'Regular procedure activities', X( tau, 'Phased application' ) ) ), X( tau, 'Notify BAG administrator' ) ) ) ) ), X( tau, 'Competent authority initiative' ), X( tau, 'Generate procedure confirmation' ) ) ) ), X( tau, 'Inspect BAG objects', +( X( tau, 'Dispatch procedure confirmation' ), X( tau, 'No permit required or only notification needed', ->( X( tau, 'Record senddate procedure confirmation', ->( 'Log date termination request received', X( tau, ->( 'Log senddate for confirmation request', 'Register termination decision date' ) ) ) ), X( tau, 'Reception via OLO' ) ) ) ) ) ) ) ), X( tau, *( 'Dispatch confirmation receipt', tau ) ) ), tau ), X( tau, 'Create terminate request message' ) ) ), X( tau, +( X( tau, *( 'Log date of publishing received request', tau ) ), X( tau, 'Suspend duration', ->( X( tau, 'WAW permit aspect considered' ), X( tau, ->( *( X( 'Create subcases completeness', 'Handle subcases completeness', ->( X( 'Modify procedure', 'Subcases completeness achieved' ), X( tau, ->( 'Complete request', X( tau, ->( 'Time for supplying missing data', X( tau, 'Draft letter requesting missing data' ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, 'Change procedure after completeness' ), +( X( tau, 'Dispatch letter in progress' ), 'Stage application receptive' ) ) ) ) ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, ->( 'Create termination decision on request', 'Execute termination decision on request' ), 'Check publication date field', +( 'Record senddate termination request', 'Terminate request message' ), ->( 'draft forwarding copy', 'send confirmation to competent authority', 'forward phase to competent authority' ), ->( 'phase demands only notification', 'draft letter for no permit or notification required' ) ), +( 'Phase procedure cancelled', 'Close the case', X( tau, ->( X( tau, ->( 'Prematurely terminated phase procedure', X( tau, 'Log date publication' ) ) ), 'Phase archived case', +( 'Phase case managed', 'Stop all running subcases 2b' ) ) ) ) ) ) ) ), X( tau, ->( 'submit request towards the competent authority', 'log the senddate for letter to the authority' ) ) ) ), X( tau, +( 'Recover missing data', 'Phase requested additional information', 'Log senddate retrieve missing data' ), 'Received OLO documents' ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_17_and_22_noise_5.svg', "->( +( 'Stage application received', 'Log submission date request', X( tau, 'Log deadline' ), ->( +( X( tau, 'Begin WABOprocedure' ), ->( *( +( X( tau, 'End on request' ), ->( +( X( tau, 'Release' ), ->( *( ->( +( X( tau, 'Record senddate acknowledgement' ), X( tau, ->( X( tau, 'log senddate letter no permit or notification needed' ), 'OLO communication active' ), ->( X( tau, ->( 'Applicant is a stakeholder', X( tau, 'Compute provisional charges' ) ) ), X( tau, 'Send to the competent authority' ), X( tau, +( X( tau, 'Check field phased application' ), ->( +( 'Standard procedure without MER', X( tau, ->( X( tau, ->( X( 'Mandatory Environmental Report required', ->( X( tau, 'No application permit required' ), 'MER included' ) ), 'Regular procedure activities', X( tau, 'Phased application' ) ) ), X( tau, 'Notify BAG administrator' ) ) ) ), X( tau, 'Competent authority initiative' ), X( tau, 'Generate procedure confirmation' ) ) ) ), X( tau, 'Inspect BAG objects', +( X( tau, 'Dispatch procedure confirmation' ), X( tau, 'No permit required or only notification needed', ->( X( tau, 'Record senddate procedure confirmation', ->( 'Log date termination request received', X( tau, ->( 'Log senddate for confirmation request', 'Register termination decision date' ) ) ) ), X( tau, 'Reception via OLO' ) ) ) ) ) ) ) ), X( tau, *( 'Dispatch confirmation receipt', tau ) ) ), tau ), X( tau, 'Create terminate request message' ) ) ), X( tau, +( X( tau, *( 'Log date of publishing received request', tau ) ), X( tau, 'Suspend duration', ->( X( tau, 'WAW permit aspect considered' ), X( tau, ->( *( X( 'Create subcases completeness', 'Handle subcases completeness', ->( X( 'Modify procedure', 'Subcases completeness achieved' ), X( tau, ->( 'Complete request', X( tau, ->( 'Time for supplying missing data', X( tau, 'Draft letter requesting missing data' ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, 'Change procedure after completeness' ), +( X( tau, 'Dispatch letter in progress' ), 'Stage application receptive' ) ) ) ) ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, ->( 'Create termination decision on request', 'Execute termination decision on request' ), 'Check publication date field', +( 'Record senddate termination request', 'Terminate request message' ), ->( 'draft forwarding copy', 'send confirmation to competent authority', 'forward phase to competent authority' ), ->( 'phase demands only notification', 'draft letter for no permit or notification required' ) ), +( 'Phase procedure cancelled', 'Close the case', X( tau, ->( X( tau, ->( 'Prematurely terminated phase procedure', X( tau, 'Log date publication' ) ) ), 'Phase archived case', +( 'Phase case managed', 'Stop all running subcases 2b' ) ) ) ) ) ) ) ), X( tau, ->( 'submit request towards the competent authority', 'log the senddate for letter to the authority' ) ) ) ), X( tau, +( 'Recover missing data', 'Phase requested additional information', 'Log senddate retrieve missing data' ), 'Received OLO documents' ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_17_and_22_noise_6.svg', "->( +( 'Stage application received', 'Log submission date request', X( tau, 'Log deadline' ), ->( +( X( tau, 'Begin WABOprocedure' ), ->( *( +( X( tau, 'End on request' ), ->( +( X( tau, 'Release' ), ->( *( ->( +( X( tau, 'Record senddate acknowledgement' ), X( tau, ->( X( tau, 'log senddate letter no permit or notification needed' ), 'OLO communication active' ), ->( X( tau, ->( 'Applicant is a stakeholder', X( tau, 'Compute provisional charges' ) ) ), X( tau, 'Send to the competent authority' ), X( tau, +( X( tau, 'Check field phased application' ), ->( +( 'Standard procedure without MER', X( tau, ->( X( tau, ->( X( 'Mandatory Environmental Report required', ->( X( tau, 'No application permit required' ), 'MER included' ) ), 'Regular procedure activities', X( tau, 'Phased application' ) ) ), X( tau, 'Notify BAG administrator' ) ) ) ), X( tau, 'Competent authority initiative' ), X( tau, 'Generate procedure confirmation' ) ) ) ), X( tau, 'Inspect BAG objects', +( X( tau, 'Dispatch procedure confirmation' ), X( tau, 'No permit required or only notification needed', ->( X( 'Record senddate procedure confirmation', ->( 'Log date termination request received', X( tau, ->( 'Log senddate for confirmation request', 'Register termination decision date' ) ) ) ), X( tau, 'Reception via OLO' ) ) ) ) ) ) ) ), X( tau, *( 'Dispatch confirmation receipt', tau ) ) ), tau ), X( tau, 'Create terminate request message' ) ) ), X( tau, +( X( tau, *( 'Log date of publishing received request', tau ) ), X( 'Suspend duration', ->( X( tau, 'WAW permit aspect considered' ), X( tau, ->( *( X( 'Create subcases completeness', 'Handle subcases completeness', ->( X( 'Modify procedure', 'Subcases completeness achieved' ), X( tau, ->( 'Complete request', X( tau, ->( 'Time for supplying missing data', X( tau, 'Draft letter requesting missing data' ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, 'Change procedure after completeness' ), +( X( tau, 'Dispatch letter in progress' ), 'Stage application receptive' ) ) ) ) ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, ->( 'Create termination decision on request', 'Execute termination decision on request' ), 'Check publication date field', +( 'Record senddate termination request', 'Terminate request message' ), ->( 'draft forwarding copy', 'send confirmation to competent authority', 'forward phase to competent authority' ), ->( 'phase demands only notification', 'draft letter for no permit or notification required' ) ), +( 'Phase procedure cancelled', 'Close the case', X( tau, ->( X( tau, ->( 'Prematurely terminated phase procedure', X( tau, 'Log date publication' ) ) ), 'Phase archived case', +( 'Phase case managed', 'Stop all running subcases 2b' ) ) ) ) ) ) ) ), X( tau, ->( 'submit request towards the competent authority', 'log the senddate for letter to the authority' ) ) ) ), X( tau, +( 'Recover missing data', 'Phase requested additional information', 'Log senddate retrieve missing data' ), 'Received OLO documents' ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_17_and_22_noise_7.svg', "->( +( 'Stage application received', 'Log submission date request', X( tau, 'Log deadline' ), ->( +( X( tau, 'Begin WABOprocedure' ), ->( *( +( X( tau, 'End on request' ), ->( +( X( tau, 'Release' ), ->( *( ->( +( X( tau, 'Record senddate acknowledgement' ), X( tau, ->( X( tau, 'log senddate letter no permit or notification needed' ), 'OLO communication active' ), ->( X( tau, ->( 'Applicant is a stakeholder', X( tau, 'Compute provisional charges' ) ) ), X( tau, 'Send to the competent authority' ), X( tau, +( X( tau, 'Check field phased application' ), ->( +( 'Standard procedure without MER', X( tau, ->( X( tau, ->( X( 'Mandatory Environmental Report required', ->( X( tau, 'No application permit required' ), 'MER included' ) ), 'Regular procedure activities', X( tau, 'Phased application' ) ) ), X( tau, 'Notify BAG administrator' ) ) ) ), X( tau, 'Competent authority initiative' ), X( tau, 'Generate procedure confirmation' ) ) ) ), X( tau, 'Inspect BAG objects', +( X( tau, 'Dispatch procedure confirmation' ), X( tau, 'No permit required or only notification needed', ->( X( 'Record senddate procedure confirmation', ->( 'Log date termination request received', X( tau, ->( 'Log senddate for confirmation request', 'Register termination decision date' ) ) ) ), X( tau, 'Reception via OLO' ) ) ) ) ) ) ) ), X( tau, *( 'Dispatch confirmation receipt', tau ) ) ), tau ), X( tau, 'Create terminate request message' ) ) ), X( tau, +( X( tau, *( 'Log date of publishing received request', tau ) ), X( 'Suspend duration', ->( X( tau, 'WAW permit aspect considered' ), *( X( 'Create subcases completeness', 'Handle subcases completeness', ->( X( 'Modify procedure', 'Subcases completeness achieved' ), X( tau, ->( 'Complete request', X( tau, ->( 'Time for supplying missing data', X( tau, 'Draft letter requesting missing data' ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, 'Change procedure after completeness' ), +( X( tau, 'Dispatch letter in progress' ), 'Stage application receptive' ) ) ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, ->( 'Create termination decision on request', 'Execute termination decision on request' ), 'Check publication date field', +( 'Record senddate termination request', 'Terminate request message' ), ->( 'draft forwarding copy', 'send confirmation to competent authority', 'forward phase to competent authority' ), ->( 'phase demands only notification', 'draft letter for no permit or notification required' ) ), +( 'Phase procedure cancelled', 'Close the case', X( tau, ->( X( tau, ->( 'Prematurely terminated phase procedure', X( tau, 'Log date publication' ) ) ), 'Phase archived case', +( 'Phase case managed', 'Stop all running subcases 2b' ) ) ) ) ) ) ) ), X( tau, ->( 'submit request towards the competent authority', 'log the senddate for letter to the authority' ) ) ) ), X( tau, +( 'Recover missing data', 'Phase requested additional information', 'Log senddate retrieve missing data' ), 'Received OLO documents' ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_17_and_22_noise_8.svg', "->( +( 'Stage application received', 'Log submission date request', X( tau, 'Log deadline' ), ->( +( X( tau, 'Begin WABOprocedure' ), ->( *( +( X( tau, 'End on request' ), ->( +( X( tau, 'Release' ), ->( *( ->( X( 'OLO communication active', ->( X( tau, ->( X( ->( X( tau, ->( 'Applicant is a stakeholder', X( tau, 'Compute provisional charges' ) ) ), X( tau, 'Send to the competent authority' ) ), 'Record senddate acknowledgement' ), X( tau, +( X( tau, 'Check field phased application' ), ->( +( 'Standard procedure without MER', X( tau, ->( X( tau, ->( X( tau, 'MER included' ), 'Regular procedure activities', X( tau, 'Phased application' ) ) ), X( tau, 'Notify BAG administrator' ) ) ) ), X( tau, 'Competent authority initiative' ), X( tau, 'Generate procedure confirmation' ) ) ) ) ) ), X( tau, 'Inspect BAG objects', +( X( tau, 'Dispatch procedure confirmation' ), X( tau, 'No permit required or only notification needed', ->( X( 'Record senddate procedure confirmation', ->( 'Log date termination request received', X( tau, ->( 'Log senddate for confirmation request', 'Register termination decision date' ) ) ) ), X( tau, 'Reception via OLO' ) ) ) ) ) ) ), X( tau, *( 'Dispatch confirmation receipt', tau ) ) ), tau ), X( tau, 'Create terminate request message' ) ) ), X( tau, +( X( tau, *( 'Log date of publishing received request', tau ) ), X( 'Suspend duration', ->( X( tau, 'WAW permit aspect considered' ), *( X( 'Create subcases completeness', 'Handle subcases completeness', ->( X( 'Modify procedure', 'Subcases completeness achieved' ), X( tau, ->( 'Complete request', X( tau, ->( 'Time for supplying missing data', X( tau, 'Draft letter requesting missing data' ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, 'Change procedure after completeness' ), +( X( tau, 'Dispatch letter in progress' ), 'Stage application receptive' ) ) ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, ->( 'Create termination decision on request', 'Execute termination decision on request' ), 'Check publication date field', +( 'Record senddate termination request', 'Terminate request message' ), ->( 'phase demands only notification', 'draft letter for no permit or notification required' ) ), +( 'Phase procedure cancelled', 'Close the case', X( tau, ->( X( tau, ->( 'Prematurely terminated phase procedure', X( tau, 'Log date publication' ) ) ), 'Phase archived case', +( 'Phase case managed', 'Stop all running subcases 2b' ) ) ) ) ) ) ) ), X( tau, ->( 'submit request towards the competent authority', 'log the senddate for letter to the authority' ) ) ) ), X( tau, +( 'Recover missing data', 'Phase requested additional information', 'Log senddate retrieve missing data' ), 'Received OLO documents' ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_17_and_22_noise_12.svg', "->( +( 'Stage application received', 'Log submission date request', X( tau, 'Log deadline' ), ->( +( X( tau, 'Begin WABOprocedure' ), ->( *( +( X( tau, 'End on request' ), ->( +( X( tau, 'Release' ), ->( *( ->( X( 'OLO communication active', ->( X( tau, ->( X( ->( X( tau, ->( 'Applicant is a stakeholder', X( tau, 'Compute provisional charges' ) ) ), X( tau, 'Send to the competent authority' ) ), 'Record senddate acknowledgement' ), X( tau, +( X( tau, 'Check field phased application' ), ->( +( 'Standard procedure without MER', X( tau, ->( X( tau, ->( X( tau, 'MER included' ), 'Regular procedure activities', X( tau, 'Phased application' ) ) ), X( tau, 'Notify BAG administrator' ) ) ) ), X( tau, 'Competent authority initiative' ), X( tau, 'Generate procedure confirmation' ) ) ) ) ) ), X( tau, 'Inspect BAG objects', 'No permit required or only notification needed', +( X( tau, 'Dispatch procedure confirmation' ), X( tau, ->( X( 'Record senddate procedure confirmation', ->( 'Log date termination request received', X( tau, ->( 'Log senddate for confirmation request', 'Register termination decision date' ) ) ) ), X( tau, 'Reception via OLO' ) ) ) ) ) ) ), X( tau, *( 'Dispatch confirmation receipt', tau ) ) ), tau ), X( tau, 'Create terminate request message' ) ) ), X( tau, ->( X( tau, 'Suspend duration' ), X( tau, 'Log date of publishing received request' ) ), ->( X( tau, 'WAW permit aspect considered' ), *( X( 'Create subcases completeness', 'Handle subcases completeness', ->( X( 'Modify procedure', 'Subcases completeness achieved' ), X( tau, ->( 'Complete request', X( tau, ->( 'Time for supplying missing data', X( tau, 'Draft letter requesting missing data' ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, 'Change procedure after completeness' ), +( X( tau, 'Dispatch letter in progress' ), 'Stage application receptive' ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, ->( 'Create termination decision on request', 'Execute termination decision on request' ), 'Check publication date field', +( 'Record senddate termination request', 'Terminate request message' ), ->( 'phase demands only notification', 'draft letter for no permit or notification required' ) ), +( 'Phase procedure cancelled', 'Close the case', X( tau, ->( X( tau, ->( 'Prematurely terminated phase procedure', X( tau, 'Log date publication' ) ) ), 'Phase archived case', +( 'Phase case managed', 'Stop all running subcases 2b' ) ) ) ) ) ) ) ), X( tau, ->( 'submit request towards the competent authority', 'log the senddate for letter to the authority' ) ) ) ), X( tau, +( 'Recover missing data', 'Phase requested additional information', 'Log senddate retrieve missing data' ), 'Received OLO documents' ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_17_and_22_noise_13.svg', "->( +( 'Stage application received', 'Log submission date request', X( tau, 'Log deadline' ), ->( +( X( tau, 'Begin WABOprocedure' ), ->( *( +( X( tau, 'End on request' ), ->( +( X( tau, 'Release' ), ->( *( ->( X( 'OLO communication active', ->( X( tau, ->( X( ->( X( tau, ->( 'Applicant is a stakeholder', X( tau, 'Compute provisional charges' ) ) ), X( tau, 'Send to the competent authority' ) ), 'Record senddate acknowledgement' ), X( tau, ->( +( 'Standard procedure without MER', X( tau, ->( X( tau, ->( X( tau, 'MER included' ), 'Regular procedure activities', X( tau, ->( X( tau, 'Check field phased application' ), 'Phased application' ) ) ) ), X( tau, 'Notify BAG administrator' ) ) ) ), X( tau, 'Competent authority initiative' ), X( tau, 'Generate procedure confirmation' ) ) ) ) ), X( tau, 'Inspect BAG objects', 'No permit required or only notification needed', +( X( tau, 'Dispatch procedure confirmation' ), X( tau, ->( X( 'Record senddate procedure confirmation', ->( 'Log date termination request received', X( tau, ->( 'Log senddate for confirmation request', 'Register termination decision date' ) ) ) ), X( tau, 'Reception via OLO' ) ) ) ) ) ) ), X( tau, *( 'Dispatch confirmation receipt', tau ) ) ), tau ), X( tau, 'Create terminate request message' ) ) ), X( tau, ->( X( tau, 'Suspend duration' ), X( tau, 'Log date of publishing received request' ) ), ->( X( tau, 'WAW permit aspect considered' ), *( X( 'Create subcases completeness', 'Handle subcases completeness', ->( X( 'Modify procedure', 'Subcases completeness achieved' ), X( tau, ->( 'Complete request', X( tau, ->( 'Time for supplying missing data', X( tau, 'Draft letter requesting missing data' ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, 'Change procedure after completeness' ), +( X( tau, 'Dispatch letter in progress' ), 'Stage application receptive' ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, ->( 'Create termination decision on request', 'Execute termination decision on request' ), 'Check publication date field', +( 'Record senddate termination request', 'Terminate request message' ), ->( 'phase demands only notification', 'draft letter for no permit or notification required' ) ), +( 'Phase procedure cancelled', X( tau, ->( X( tau, ->( 'Prematurely terminated phase procedure', X( tau, 'Log date publication' ) ) ), 'Phase archived case', +( 'Phase case managed', 'Stop all running subcases 2b' ) ) ) ) ) ) ) ), X( tau, 'Close the case' ), X( tau, ->( 'submit request towards the competent authority', 'log the senddate for letter to the authority' ) ) ) ), X( tau, +( 'Recover missing data', 'Phase requested additional information', 'Log senddate retrieve missing data' ), 'Received OLO documents' ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_17_and_22_noise_15.svg', "->( +( X( tau, 'Phase procedure cancelled' ), 'Stage application received', 'Log submission date request', ->( +( X( tau, 'Log deadline' ), ->( +( X( tau, 'Begin WABOprocedure' ), ->( *( +( X( tau, 'End on request' ), ->( +( X( tau, 'Release' ), ->( *( ->( X( 'OLO communication active', ->( X( tau, ->( X( ->( X( tau, ->( 'Applicant is a stakeholder', X( tau, 'Compute provisional charges' ) ) ), X( tau, 'Send to the competent authority' ) ), 'Record senddate acknowledgement' ), X( tau, ->( +( 'Standard procedure without MER', X( tau, ->( X( tau, ->( X( tau, 'MER included' ), 'Regular procedure activities', X( tau, ->( X( tau, 'Check field phased application' ), 'Phased application' ) ) ) ), X( tau, 'Notify BAG administrator' ) ) ) ), X( tau, 'Competent authority initiative' ), X( tau, 'Generate procedure confirmation' ) ) ) ) ), X( tau, 'Inspect BAG objects', 'No permit required or only notification needed', +( X( tau, 'Dispatch procedure confirmation' ), X( tau, ->( X( 'Record senddate procedure confirmation', ->( 'Log date termination request received', X( tau, ->( 'Log senddate for confirmation request', 'Register termination decision date' ) ) ) ), X( tau, 'Reception via OLO' ) ) ) ) ) ) ), X( tau, *( 'Dispatch confirmation receipt', tau ) ) ), tau ), X( tau, 'Create terminate request message' ) ) ), X( tau, ->( X( tau, 'Suspend duration' ), X( tau, 'Log date of publishing received request' ) ), ->( X( tau, 'WAW permit aspect considered' ), *( X( 'Create subcases completeness', 'Handle subcases completeness', ->( X( 'Modify procedure', 'Subcases completeness achieved' ), X( tau, ->( 'Complete request', X( tau, ->( 'Time for supplying missing data', X( tau, 'Draft letter requesting missing data' ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, 'Change procedure after completeness' ), +( X( tau, 'Dispatch letter in progress' ), 'Stage application receptive' ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, ->( X( tau, 'Check publication date field' ), 'Prematurely terminated phase procedure', X( tau, 'Log date publication' ) ) ), 'Phase archived case', +( 'Phase case managed', 'Stop all running subcases 2b' ) ) ) ) ), X( tau, +( 'Record senddate termination request', 'Terminate request message' ), ->( 'phase demands only notification', 'draft letter for no permit or notification required' ) ) ) ), X( tau, ->( 'Create termination decision on request', 'Execute termination decision on request' ) ) ) ), X( tau, 'Close the case' ), X( tau, +( 'Recover missing data', 'Phase requested additional information', 'Log senddate retrieve missing data' ), 'Received OLO documents' ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_17_and_22_noise_17.svg', "->( +( X( tau, 'Phase procedure cancelled' ), 'Stage application received', 'Log submission date request', ->( +( X( tau, 'Begin WABOprocedure' ), ->( *( +( X( tau, 'End on request' ), ->( +( X( tau, 'Release' ), ->( *( ->( X( tau, 'OLO communication active', ->( 'Applicant is a stakeholder', X( tau, 'Compute provisional charges', 'No permit required or only notification needed' ) ), ->( X( 'Send to the competent authority', 'Record senddate acknowledgement' ), X( tau, ->( +( 'Standard procedure without MER', X( tau, ->( X( tau, ->( X( tau, 'MER included' ), 'Regular procedure activities', X( tau, ->( X( tau, 'Check field phased application' ), 'Phased application' ) ) ) ), X( tau, 'Notify BAG administrator' ) ) ) ), X( tau, 'Generate procedure confirmation' ) ) ), X( tau, 'Record senddate procedure confirmation' ), X( tau, 'Dispatch procedure confirmation', 'Reception via OLO' ) ) ), X( tau, *( 'Dispatch confirmation receipt', tau ) ) ), tau ), X( tau, 'Log date termination request received' ), X( tau, 'Create terminate request message' ) ) ), X( tau, ->( X( tau, 'Suspend duration' ), X( tau, 'Log date of publishing received request' ) ), ->( X( tau, 'WAW permit aspect considered' ), *( X( 'Create subcases completeness', 'Handle subcases completeness', ->( X( 'Modify procedure', 'Subcases completeness achieved' ), X( tau, ->( 'Complete request', X( tau, ->( 'Time for supplying missing data', 'Draft letter requesting missing data' ) ) ) ) ) ), tau ), X( tau, +( X( tau, 'Dispatch letter in progress' ), 'Stage application receptive' ) ) ) ) ) ), tau ), X( tau, ->( X( tau, ->( X( tau, 'Check publication date field' ), 'Prematurely terminated phase procedure' ) ), 'Phase archived case', +( 'Phase case managed', 'Stop all running subcases 2b' ) ) ) ) ), X( tau, ->( X( +( 'Record senddate termination request', 'Terminate request message' ), ->( 'phase demands only notification', 'draft letter for no permit or notification required' ) ), 'Log deadline' ) ), X( tau, ->( 'Create termination decision on request', 'Execute termination decision on request' ) ) ) ), X( tau, 'Close the case' ), X( tau, +( 'Recover missing data', 'Phase requested additional information', 'Log senddate retrieve missing data' ), 'Received OLO documents' ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_17_and_22_noise_20.svg', "->( +( 'Stage application received', 'Log submission date request', X( tau, 'Log deadline' ), ->( *( ->( +( X( tau, 'End on request' ), ->( *( ->( X( ->( 'Applicant is a stakeholder', X( tau, 'Compute provisional charges' ) ), 'Send to the competent authority', 'OLO communication active', 'Record senddate acknowledgement' ), X( tau, ->( X( tau, +( 'Standard procedure without MER', X( tau, ->( X( tau, ->( 'MER included', 'Regular procedure activities' ) ), +( X( tau, 'Phased application' ), ->( X( tau, 'Notify BAG administrator' ), X( tau, *( X( ->( 'Generate procedure confirmation', X( tau, 'Release' ) ), ->( 'Begin WABOprocedure', X( tau, 'Check field phased application' ) ) ), tau ) ) ) ) ) ) ) ), +( X( tau, *( 'Dispatch confirmation receipt', tau ) ), X( tau, 'Inspect BAG objects', ->( X( tau, 'Record senddate procedure confirmation' ), X( tau, 'Dispatch procedure confirmation', 'Reception via OLO' ) ) ) ) ) ) ), tau ), X( tau, ->( X( tau, 'Suspend duration' ), X( tau, 'Log date of publishing received request' ) ), ->( X( tau, 'WAW permit aspect considered' ), *( X( 'Create subcases completeness', 'Handle subcases completeness', ->( X( 'Modify procedure', 'Subcases completeness achieved' ), X( tau, ->( 'Complete request', X( tau, ->( 'Time for supplying missing data', 'Draft letter requesting missing data' ) ) ) ) ) ), tau ), X( tau, +( X( tau, 'Dispatch letter in progress' ), 'Stage application receptive' ) ) ) ) ) ), X( tau, 'Log date termination request received' ) ), tau ), X( tau, +( 'Record senddate termination request', 'Terminate request message' ) ) ) ), X( tau, ->( X( tau, ->( 'Create termination decision on request', 'Execute termination decision on request' ), 'Check publication date field', ->( 'phase demands only notification', 'draft letter for no permit or notification required' ) ), X( tau, +( 'Phase case managed', X( tau, 'Stop all running subcases 2b' ) ) ), 'Phase procedure cancelled', 'Close the case' ) ), X( tau, +( 'Recover missing data', 'Phase requested additional information', 'Log senddate retrieve missing data' ), 'Received OLO documents' ) )")
