visualization_filename, serialization
('BPIC15_2_rev/process_tree_case_size_betwee_7_and_8_noise_10.svg', "->( 'Log submission date request', X( 'Log date termination request received', 'Record senddate acknowledgement', ->( 'OLO communication active', X( tau, 'Submit application via OLO' ) ) ), +( 'Stage application received', ->( X( tau, ->( X( tau, 'Reception via OLO' ), 'Dispatch confirmation receipt', X( tau, 'Applicant is a stakeholder' ) ) ), X( tau, ->( 'End on request', X( tau, 'Compute provisional charges' ) ) ) ) ), X( tau, ->( 'Send to the competent authority', 'Standard procedure without MER' ), ->( 'Terminate request message', 'Record senddate termination request', 'Phase procedure cancelled', 'Log deadline' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_7_and_8_noise_20.svg', "->( 'Log submission date request', X( 'Log date termination request received', 'Record senddate acknowledgement', ->( 'OLO communication active', X( tau, 'Submit application via OLO' ) ) ), +( 'Stage application received', ->( X( tau, 'Reception via OLO' ), 'Dispatch confirmation receipt', X( tau, 'Applicant is a stakeholder' ), 'End on request', X( tau, 'Compute provisional charges' ) ) ), X( tau, ->( 'Send to the competent authority', 'Standard procedure without MER' ), ->( 'Terminate request message', 'Record senddate termination request', 'Phase procedure cancelled', 'Log deadline' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_7_and_8_noise_30.svg', "->( 'Log submission date request', X( 'Log date termination request received', 'Record senddate acknowledgement', ->( 'OLO communication active', X( tau, 'Submit application via OLO' ) ) ), +( 'Stage application received', ->( X( tau, 'Reception via OLO' ), 'Dispatch confirmation receipt', 'Applicant is a stakeholder', 'End on request', X( tau, 'Compute provisional charges' ) ) ), X( tau, ->( 'Send to the competent authority', 'Standard procedure without MER' ), ->( 'Terminate request message', 'Record senddate termination request', 'Phase procedure cancelled', 'Log deadline' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_7_and_8_noise_40.svg', "->( 'Log submission date request', X( 'Log date termination request received', 'Record senddate acknowledgement', ->( 'OLO communication active', X( tau, 'Submit application via OLO' ) ) ), X( tau, 'Reception via OLO' ), 'Dispatch confirmation receipt', 'Applicant is a stakeholder', 'End on request', 'Compute provisional charges', 'Stage application received', X( tau, ->( 'Send to the competent authority', 'Standard procedure without MER' ), ->( 'Terminate request message', 'Record senddate termination request', 'Phase procedure cancelled', 'Log deadline' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_7_and_8_noise_60.svg', "->( 'Log submission date request', X( 'Log date termination request received', 'Record senddate acknowledgement', ->( 'OLO communication active', X( tau, 'Submit application via OLO' ) ) ), X( tau, 'Reception via OLO' ), 'Dispatch confirmation receipt', 'Applicant is a stakeholder', 'End on request', 'Compute provisional charges', 'Stage application received', X( ->( 'Send to the competent authority', 'Standard procedure without MER' ), ->( 'Terminate request message', 'Record senddate termination request', 'Phase procedure cancelled', 'Log deadline' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_7_and_8_noise_70.svg', "->( 'Log submission date request', X( 'Log date termination request received', 'Record senddate acknowledgement', ->( 'OLO communication active', 'Submit application via OLO' ) ), X( tau, 'Reception via OLO' ), 'Dispatch confirmation receipt', 'Applicant is a stakeholder', 'End on request', 'Compute provisional charges', 'Stage application received', X( ->( 'Send to the competent authority', 'Standard procedure without MER' ), ->( 'Terminate request message', 'Record senddate termination request', 'Phase procedure cancelled', 'Log deadline' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_7_and_8_noise_80.svg', "->( 'Log submission date request', X( 'Log date termination request received', 'Record senddate acknowledgement', ->( 'OLO communication active', 'Submit application via OLO' ) ), 'Reception via OLO', 'Dispatch confirmation receipt', 'Applicant is a stakeholder', 'End on request', 'Compute provisional charges', 'Stage application received', X( ->( 'Send to the competent authority', 'Standard procedure without MER' ), ->( 'Terminate request message', 'Record senddate termination request', 'Phase procedure cancelled', 'Log deadline' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_8_and_11_noise_10.svg', "->( 'Log submission date request', X( tau, 'Log date termination request received' ), +( 'Stage application received', X( tau, 'Record senddate acknowledgement' ), ->( X( tau, 'OLO communication active' ), +( X( tau, *( 'Dispatch confirmation receipt', tau ) ), ->( X( tau, ->( +( X( tau, 'Applicant is a stakeholder' ), 'End on request' ), X( tau, 'Compute provisional charges', 'No permit required or only notification needed' ) ) ), X( tau, ->( 'Send to the competent authority', X( tau, ->( 'Standard procedure without MER', X( tau, ->( X( tau, ->( 'Generate procedure confirmation', 'Release' ) ), 'Begin WABOprocedure' ) ) ) ) ) ) ) ) ) ), X( tau, ->( 'Terminate request message', 'Record senddate termination request', 'Phase procedure cancelled', 'Log deadline' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_8_and_11_noise_20.svg', "->( 'Log submission date request', X( tau, 'Log date termination request received' ), +( 'Stage application received', 'Record senddate acknowledgement', ->( X( tau, 'OLO communication active' ), +( *( 'Dispatch confirmation receipt', tau ), ->( X( tau, ->( +( X( tau, 'Applicant is a stakeholder' ), 'End on request' ), X( tau, 'Compute provisional charges', 'No permit required or only notification needed' ) ) ), X( tau, ->( 'Send to the competent authority', 'Standard procedure without MER', X( tau, ->( 'Generate procedure confirmation', 'Release' ) ), 'Begin WABOprocedure' ) ) ) ) ) ), X( tau, ->( 'Terminate request message', 'Record senddate termination request', 'Phase procedure cancelled', 'Log deadline' ) ) )")
('BPIC15_2_rev/process_tree_case_size_betwee_8_and_11_noise_30.svg', "->( 'Log submission date request', X( tau, 'Log date termination request received' ), +( 'Stage application received', 'Record senddate acknowledgement', ->( 'OLO communication active', +( *( 'Dispatch confirmation receipt', tau ), ->( X( tau, ->( +( X( tau, 'Applicant is a stakeholder' ), 'End on request' ), X( tau, 'Compute provisional charges', 'No permit required or only notification needed' ) ) ), 'Send to the competent authority', 'Standard procedure without MER', 'Generate procedure confirmation', 'Release', 'Begin WABOprocedure' ) ) ) ), X( tau, ->( 'Terminate request message', 'Record senddate termination request', 'Phase procedure cancelled', 'Log deadline' ) ) )")
