visualization_filename, serialization
('BPIC15_4_rev/process_tree_case_size_betwee_7_and_8_noise_10.svg', "->( 'Input submission date request', X( tau, 'OLO messaging live' ), 'Provide confirmation receipt', X( tau, 'Applicant considered stakeholder' ), X( 'Cease on request', ->( X( tau, 'Assess provisional charges' ), 'Transfer to the competent authority', X( 'Alert BAG administrator', 'case closure', ->( 'Routine procedure without MER', 'Draft procedure confirmation', 'Initiate WABOprocedure' ) ) ) ), 'Phase of application received', X( tau, ->( 'No permit needed or just notification needed', X( tau, 'draft letter indicating no permit required' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_7_and_8_noise_30.svg', "->( 'Input submission date request', X( tau, 'OLO messaging live' ), 'Provide confirmation receipt', 'Applicant considered stakeholder', X( 'Cease on request', ->( X( tau, 'Assess provisional charges' ), 'Transfer to the competent authority', X( 'Alert BAG administrator', 'case closure', ->( 'Routine procedure without MER', 'Draft procedure confirmation', 'Initiate WABOprocedure' ) ) ) ), 'Phase of application received', X( tau, ->( 'No permit needed or just notification needed', X( tau, 'draft letter indicating no permit required' ) ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_7_and_8_noise_50.svg', "->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', 'Applicant considered stakeholder', X( 'Cease on request', ->( X( tau, 'Assess provisional charges' ), 'Transfer to the competent authority', X( 'Alert BAG administrator', 'case closure', ->( 'Routine procedure without MER', 'Draft procedure confirmation', 'Initiate WABOprocedure' ) ) ) ), 'Phase of application received', 'No permit needed or just notification needed', 'draft letter indicating no permit required' )")
('BPIC15_4_rev/process_tree_case_size_betwee_7_and_8_noise_70.svg', "->( 'Input submission date request', 'OLO messaging live', 'Provide confirmation receipt', 'Applicant considered stakeholder', X( 'Cease on request', ->( 'Assess provisional charges', 'Transfer to the competent authority', X( 'Alert BAG administrator', 'case closure', ->( 'Routine procedure without MER', 'Draft procedure confirmation', 'Initiate WABOprocedure' ) ) ) ), 'Phase of application received', 'No permit needed or just notification needed', 'draft letter indicating no permit required' )")
('BPIC15_4_rev/process_tree_case_size_betwee_8_and_11_noise_10.svg', "->( 'Input submission date request', X( tau, 'OLO messaging live' ), +( 'Phase of application received', ->( +( X( tau, 'Cease on request' ), ->( +( X( tau, 'Applicant considered stakeholder' ), ->( *( *( 'Provide confirmation receipt', tau ), 'Input senddate acknowledgement' ), X( tau, 'Assess provisional charges', ->( X( tau, ->( 'log senddate letter no permit or notification needed', 'Register due date' ) ), 'No permit needed or just notification needed' ) ), X( tau, 'Transfer to the competent authority' ) ) ), X( tau, +( 'Terminate request notification', 'Enter date termination request received' ) ) ) ), X( tau, 'Alert BAG administrator' ), X( tau, ->( 'Routine procedure without MER', X( tau, ->( X( tau, 'Draft procedure confirmation' ), 'Initiate WABOprocedure' ) ) ) ), X( tau, 'case closure' ) ) ), X( tau, 'Phase procedure ended prematurely', ->( +( 'Transmit procedure confirmation', 'Input senddate procedure confirmation' ), X( tau, 'Document date publication' ) ), ->( 'draft letter indicating no permit required', 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_8_and_11_noise_20.svg', "->( 'Input submission date request', X( tau, 'OLO messaging live' ), +( 'Phase of application received', ->( +( X( tau, 'Cease on request' ), ->( +( *( 'Provide confirmation receipt', tau ), X( tau, 'Applicant considered stakeholder' ) ), X( tau, +( 'Terminate request notification', 'Enter date termination request received' ) ) ) ), X( tau, ->( X( tau, 'Assess provisional charges' ), 'Transfer to the competent authority' ) ), X( tau, 'Alert BAG administrator' ), X( tau, ->( 'Routine procedure without MER', X( tau, ->( X( tau, 'Draft procedure confirmation' ), 'Initiate WABOprocedure' ) ) ) ), X( tau, 'case closure' ) ) ), X( tau, 'Phase procedure ended prematurely', ->( +( 'Transmit procedure confirmation', 'Input senddate procedure confirmation' ), X( tau, 'Document date publication' ) ), ->( 'draft letter indicating no permit required', 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_8_and_11_noise_30.svg', "->( 'Input submission date request', X( tau, 'OLO messaging live' ), +( 'Phase of application received', ->( +( X( tau, 'Cease on request' ), ->( +( *( 'Provide confirmation receipt', tau ), 'Applicant considered stakeholder' ), X( tau, +( 'Terminate request notification', 'Enter date termination request received' ) ) ) ), X( tau, 'Assess provisional charges' ), 'Transfer to the competent authority', X( tau, 'Alert BAG administrator' ), X( tau, ->( 'Routine procedure without MER', X( tau, ->( X( tau, 'Draft procedure confirmation' ), 'Initiate WABOprocedure' ) ) ) ), X( tau, 'case closure' ) ) ), X( tau, 'Phase procedure ended prematurely', ->( +( 'Transmit procedure confirmation', 'Input senddate procedure confirmation' ), X( tau, 'Document date publication' ) ), ->( 'draft letter indicating no permit required', 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_8_and_11_noise_40.svg', "->( 'Input submission date request', X( tau, 'OLO messaging live' ), +( 'Phase of application received', ->( +( X( tau, 'Cease on request' ), ->( +( *( 'Provide confirmation receipt', tau ), 'Applicant considered stakeholder' ), X( tau, +( 'Terminate request notification', 'Enter date termination request received' ) ) ) ), 'Transfer to the competent authority', X( tau, 'Alert BAG administrator' ), X( tau, ->( 'Routine procedure without MER', 'Draft procedure confirmation', 'Initiate WABOprocedure' ) ), X( tau, 'case closure' ) ) ), X( tau, 'Phase procedure ended prematurely', ->( +( 'Transmit procedure confirmation', 'Input senddate procedure confirmation' ), 'Document date publication' ), ->( 'draft letter indicating no permit required', 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_8_and_11_noise_50.svg', "->( 'Input submission date request', 'OLO messaging live', +( 'Phase of application received', ->( *( 'Provide confirmation receipt', tau ), 'Applicant considered stakeholder', +( 'Cease on request', 'Terminate request notification', 'Enter date termination request received' ), 'Transfer to the competent authority', X( tau, 'Alert BAG administrator' ), 'Routine procedure without MER', 'Draft procedure confirmation', 'Initiate WABOprocedure', X( tau, 'case closure' ) ) ), X( 'Phase procedure ended prematurely', ->( +( 'Transmit procedure confirmation', 'Input senddate procedure confirmation' ), 'Document date publication' ), ->( 'draft letter indicating no permit required', 'Phase procedure aborted', 'Conclude case' ) ) )")
('BPIC15_4_rev/process_tree_case_size_betwee_8_and_11_noise_70.svg', "->( 'Input submission date request', 'OLO messaging live', +( 'Phase of application received', ->( *( 'Provide confirmation receipt', tau ), 'Applicant considered stakeholder', +( 'Cease on request', 'Terminate request notification', 'Enter date termination request received' ), 'Transfer to the competent authority', 'Alert BAG administrator', 'Routine procedure without MER', 'Draft procedure confirmation', 'Initiate WABOprocedure', X( tau, 'case closure' ) ) ), X( 'Phase procedure ended prematurely', ->( +( 'Transmit procedure confirmation', 'Input senddate procedure confirmation' ), 'Document date publication' ), ->( 'draft letter indicating no permit required', 'Phase procedure aborted', 'Conclude case' ) ) )")
